"onset","onset_low","onset_high","rowname","year","id_cells","offset","offset_low","offset_high","duration","scientificName","Order"
156.1,112,161,2018.739,2018,739,235.3,222.3,247,79.2,"Bombus griseocollis","Hymenoptera"
147.8,118,153,2019.739,2019,739,223,203.6,268,75.2,"Bombus griseocollis","Hymenoptera"
128,124,134,2015.744,2015,744,198,179,205,70,"Bombus griseocollis","Hymenoptera"
108.65,102,139.4,2016.744,2016,744,231.05,216.45,232,122.4,"Bombus griseocollis","Hymenoptera"
116.55,82,139,2017.744,2017,744,233.55,206,246,117,"Bombus griseocollis","Hymenoptera"
119.25,89,128,2018.744,2018,744,230,215,264,110.75,"Bombus griseocollis","Hymenoptera"
137.1,113,144,2019.744,2019,744,225,208,276,87.9,"Bombus griseocollis","Hymenoptera"
134.4,126,140,2015.745,2015,745,245.6,208.8,251,111.2,"Bombus griseocollis","Hymenoptera"
139.5,118,161,2016.745,2016,745,219,202,221,79.5,"Bombus griseocollis","Hymenoptera"
155.9,110,161,2017.745,2017,745,213.7,199,220,57.8,"Bombus griseocollis","Hymenoptera"
160.2,145,162.1,2018.745,2018,745,222.1,202,243,61.9,"Bombus griseocollis","Hymenoptera"
149.2,142,158,2019.745,2019,745,196.5,183.3,201,47.3,"Bombus griseocollis","Hymenoptera"
129.45,119,134.75,2019.769,2019,769,265.1,236.4,267,135.65,"Bombus griseocollis","Hymenoptera"
199.45,199,202.6,2019.771,2019,771,245.6,219.2,251,46.15,"Bombus griseocollis","Hymenoptera"
124.8,105,149,2017.775,2017,775,206.65,181.95,208,81.85,"Bombus griseocollis","Hymenoptera"
161.5,158,166.4,2018.775,2018,775,220.6,208.1,222,59.1,"Bombus griseocollis","Hymenoptera"
172.2,171,174.2,2017.78,2017,780,233.4,201,234,61.2,"Bombus griseocollis","Hymenoptera"
168.7,150,172,2018.78,2018,780,233.55,214,282,64.8499999999999,"Bombus griseocollis","Hymenoptera"
129,106,153,2019.78,2019,780,260,213,262,131,"Bombus griseocollis","Hymenoptera"
139,118,146,2018.785,2018,785,213.5,197,245,74.5,"Bombus griseocollis","Hymenoptera"
103.55,101,104.85,2019.785,2019,785,215.15,194.6,216,111.6,"Bombus griseocollis","Hymenoptera"
159.75,147,177.3,2019.814,2019,814,245.1,237,257,85.35,"Bombus griseocollis","Hymenoptera"
149.05,138,155,2016.815,2016,815,208.3,196.05,220,59.25,"Bombus griseocollis","Hymenoptera"
156,136,168.8,2017.815,2017,815,238.2,217.8,293,82.2,"Bombus griseocollis","Hymenoptera"
172,163,182,2018.815,2018,815,231.6,222.9,237,59.6,"Bombus griseocollis","Hymenoptera"
127.4,112,162,2019.815,2019,815,244.75,235.65,248,117.35,"Bombus griseocollis","Hymenoptera"
147.9,136,164.2,2019.819,2019,819,270.6,237.4,286,122.7,"Bombus griseocollis","Hymenoptera"
180.4,175,184,2015.82,2015,820,216.4,206.4,217,36,"Bombus griseocollis","Hymenoptera"
109.4,21,118.65,2017.82,2017,820,218.9,208,285,109.5,"Bombus griseocollis","Hymenoptera"
128.6,126,150,2018.82,2018,820,219.85,208,231,91.25,"Bombus griseocollis","Hymenoptera"
129.4,112,147.8,2019.82,2019,820,243.6,229.4,264,114.2,"Bombus griseocollis","Hymenoptera"
135.5,113,158,2017.826,2017,826,266.5,214,297,131,"Bombus griseocollis","Hymenoptera"
127.25,119,134,2018.826,2018,826,251.75,226.35,273,124.5,"Bombus griseocollis","Hymenoptera"
112.75,70,128,2019.826,2019,826,241.05,230,275.65,128.3,"Bombus griseocollis","Hymenoptera"
167.9,167,172.6,2015.855,2015,855,226.25,210.75,233,58.35,"Bombus griseocollis","Hymenoptera"
159.25,132,167.5,2017.855,2017,855,230,217.75,245,70.75,"Bombus griseocollis","Hymenoptera"
157.1,126,163,2018.855,2018,855,227.7,221.6,240,70.6,"Bombus griseocollis","Hymenoptera"
160.4,130,164.2,2019.855,2019,855,260.25,237.45,265,99.85,"Bombus griseocollis","Hymenoptera"
163.8,136,189,2019.86,2019,860,243.2,235.8,248,79.4,"Bombus griseocollis","Hymenoptera"
160.2,156,170.4,2019.867,2019,867,259.8,226,264,99.6,"Bombus griseocollis","Hymenoptera"
170.35,160,183,2019.91,2019,910,219.95,213.55,224,49.6,"Bombus griseocollis","Hymenoptera"
137.35,136,153.35,2018.92,2018,920,238.65,224.15,266,101.3,"Bombus griseocollis","Hymenoptera"
122.45,122,123.45,2019.92,2019,920,224.6,191.6,239,102.15,"Bombus griseocollis","Hymenoptera"
171.3,168,181.2,2015.937,2015,937,233.15,205.35,248,61.85,"Bombus griseocollis","Hymenoptera"
151.8,110,165.1,2016.937,2016,937,235.15,214.4,238,83.35,"Bombus griseocollis","Hymenoptera"
146.35,111,158.85,2017.937,2017,937,256.1,249,266,109.75,"Bombus griseocollis","Hymenoptera"
152.95,127,157.55,2018.937,2018,937,255.3,238.45,266,102.35,"Bombus griseocollis","Hymenoptera"
147.2,90,163.1,2019.937,2019,937,258.05,234.75,281,110.85,"Bombus griseocollis","Hymenoptera"
160.35,125,169,2018.954,2018,954,224.85,214,267,64.5,"Bombus griseocollis","Hymenoptera"
118.2,115,132.4,2019.954,2019,954,250.8,235.6,286,132.6,"Bombus griseocollis","Hymenoptera"
169.55,161,178.1,2019.979,2019,979,231.15,215.75,253,61.6,"Bombus griseocollis","Hymenoptera"
150,146,169.2,2018.98,2018,980,262,237.6,266,112,"Bombus griseocollis","Hymenoptera"
120.5,78,163,2019.98,2019,980,240,215,257,119.5,"Bombus griseocollis","Hymenoptera"
157.4,140,169,2015.997,2015,997,225.8,208.8,227,68.4,"Bombus griseocollis","Hymenoptera"
201.7,199,209.2,2016.1036,2016,1036,253.9,237,262,52.2,"Bombus griseocollis","Hymenoptera"
173,171,175,2018.1036,2018,1036,230,204,250,57,"Bombus griseocollis","Hymenoptera"
156,77,161.5,2019.1036,2019,1036,247.75,237.25,261,91.75,"Bombus griseocollis","Hymenoptera"
165.5,148,183,2017.1044,2017,1044,231,226.5,232,65.5,"Bombus griseocollis","Hymenoptera"
143,119,147,2018.1044,2018,1044,266,225,295,123,"Bombus griseocollis","Hymenoptera"
122.75,120,126.05,2019.1044,2019,1044,247.95,189,254,125.2,"Bombus griseocollis","Hymenoptera"
134.35,125,142,2018.1136,2018,1136,239.45,198.55,240,105.1,"Bombus griseocollis","Hymenoptera"
167.1,159,177,2018.256,2018,256,313.1,308,314,146,"Bombus impatiens","Hymenoptera"
114.4,80,136.1,2019.256,2019,256,332.2,310.1,338,217.8,"Bombus impatiens","Hymenoptera"
65.4,60,72,2018.281,2018,281,285.55,154,286,220.15,"Bombus impatiens","Hymenoptera"
110.2,106,121.4,2019.315,2019,315,298,244,301,187.8,"Bombus impatiens","Hymenoptera"
67,56,80,2019.32,2019,320,291,269,332,224,"Bombus impatiens","Hymenoptera"
111.3,42,196,2019.351,2019,351,312.3,297.75,315,201,"Bombus impatiens","Hymenoptera"
201.9,181,219,2019.376,2019,376,309.45,292,321,107.55,"Bombus impatiens","Hymenoptera"
118,99,163,2019.454,2019,454,306,252,341,188,"Bombus impatiens","Hymenoptera"
207,185,225,2017.483,2017,483,308.2,294.9,317,101.2,"Bombus impatiens","Hymenoptera"
133,122,144,2019.491,2019,491,286.5,206,336,153.5,"Bombus impatiens","Hymenoptera"
107.85,102,182.6,2019.53,2019,530,299.5,292,306,191.65,"Bombus impatiens","Hymenoptera"
147.5,142,158.6,2019.532,2019,532,322.35,280.25,335,174.85,"Bombus impatiens","Hymenoptera"
115,113,125,2016.533,2016,533,276.5,245.5,290,161.5,"Bombus impatiens","Hymenoptera"
154,139,157,2017.533,2017,533,279,229,305,125,"Bombus impatiens","Hymenoptera"
125.7,122,130.85,2018.533,2018,533,262.65,249.6,293,136.95,"Bombus impatiens","Hymenoptera"
153.5,116,178.2,2019.533,2019,533,282.7,255.4,293,129.2,"Bombus impatiens","Hymenoptera"
135.3,124,152.4,2018.534,2018,534,281.55,264.85,285,146.25,"Bombus impatiens","Hymenoptera"
154,127,156,2019.534,2019,534,274,254,307,120,"Bombus impatiens","Hymenoptera"
203.9,200,229.25,2019.535,2019,535,294.45,268,299,90.55,"Bombus impatiens","Hymenoptera"
151.6,133,169.5,2018.575,2018,575,271.7,249.2,273,120.1,"Bombus impatiens","Hymenoptera"
107.4,106,110.8,2019.575,2019,575,243.3,220.8,244,135.9,"Bombus impatiens","Hymenoptera"
181.7,146,197,2017.577,2017,577,309.4,294.1,322,127.7,"Bombus impatiens","Hymenoptera"
146,118,158,2018.577,2018,577,289.7,273,310,143.7,"Bombus impatiens","Hymenoptera"
164.2,117,173.2,2019.577,2019,577,275.6,262.6,280,111.4,"Bombus impatiens","Hymenoptera"
114.6,84,143.4,2018.578,2018,578,299.2,274.8,310,184.6,"Bombus impatiens","Hymenoptera"
74.45,73,144.2,2019.578,2019,578,310.1,299,326,235.65,"Bombus impatiens","Hymenoptera"
180.3,177,183.6,2019.615,2019,615,252.95,240,259,72.65,"Bombus impatiens","Hymenoptera"
179.55,172,205.9,2019.65,2019,650,304.25,291.7,307,124.7,"Bombus impatiens","Hymenoptera"
156.8,119,189.8,2019.651,2019,651,290.6,285,296,133.8,"Bombus impatiens","Hymenoptera"
123.5,119,164,2018.652,2018,652,297.5,287,298,174,"Bombus impatiens","Hymenoptera"
180.25,118,193,2019.652,2019,652,281.75,273,292,101.5,"Bombus impatiens","Hymenoptera"
117.9,97,138.8,2019.662,2019,662,276.25,265.2,279,158.35,"Bombus impatiens","Hymenoptera"
199.35,187,217.55,2019.694,2019,694,289.1,272.7,293,89.75,"Bombus impatiens","Hymenoptera"
149.5,142,155.1,2019.695,2019,695,256.9,253.9,276,107.4,"Bombus impatiens","Hymenoptera"
164.25,159,167.5,2017.697,2017,697,288.75,250,294,124.5,"Bombus impatiens","Hymenoptera"
124.55,111,152.95,2018.697,2018,697,290.05,269.5,298,165.5,"Bombus impatiens","Hymenoptera"
153.1,141,162,2019.697,2019,697,297.7,293.4,301.4,144.6,"Bombus impatiens","Hymenoptera"
